pessoa_idade,pessoa_salario_anual,pessoa_status_propriedade,pessoa_tempo_trabalho,emprestimo_motivo,emprestimo_pontuacao,emprestimo_valor_total,emprestimo_taxa_juros,emprestimo_inadimplente,emprestimo_renda_percentual,historico_inadimplencia,historico_tempo_credito
22,50000.0,Hipotecada,0,Pagamento de débitos,A,12800.0,5.79,0,0.26,N,2.0
26,84996.0,Alugada,0,Médico,B,9000.0,11.26,0,0.11,N,2.0
24,55782.0,Alugada,3,Melhora do lar,A,17000.0,7.51,0,0.3,N,2.0
25,125000.0,Própria,9,Pessoal,B,25000.0,10.59,0,0.2,N,2.0
23,44340.0,Própria,0,Empreendimento,C,3000.0,12.98,0,0.07,S,3.0
29,50000.0,Hipotecada,4,Médico,B,21850.0,12.42,0,0.44,N,10.0
27,35000.0,Alugada,8,Pessoal,B,12000.0,9.91,1,0.34,N,8.0
32,19200.0,Alugada,0,Empreendimento,B,5000.0,9.99,1,0.26,N,6.0
22,70800.0,Alugada,6,Educativo,C,10000.0,12.61,0,0.14,S,2.0
22,45000.0,Alugada,1,Empreendimento,E,10000.0,11.01363026788837,1,0.22,N,2.0
24,82000.0,Hipotecada,8,Pessoal,A,6000.0,6.76,0,0.07,N,3.0
36,39520.0,Própria,14,Empreendimento,A,5000.0,5.79,0,0.13,N,16.0
30,36000.0,Alugada,6,Pagamento de débitos,C,4500.0,13.49,0,0.13,S,6.0
23,36000.0,Hipotecada,6,Pessoal,C,14000.0,12.99,0,0.39,S,3.0
33,54000.0,Alugada,15,Pagamento de débitos,B,10000.0,10.99,0,0.19,N,8.0
21,45000.0,Alugada,3,Pessoal,A,3200.0,6.54,0,0.07,N,4.0
24,44000.0,Alugada,2,Pessoal,A,10000.0,7.49,0,0.23,N,2.0
26,103000.0,Hipotecada,0,Pessoal,C,14000.0,13.57,1,0.14,N,4.0
36,45344.0,Hipotecada,11,Educativo,A,16750.0,7.88,0,0.37,N,13.0
31,50402.0,Hipotecada,4,Empreendimento,C,3000.0,13.22,0,0.06,S,10.0
21,53000.0,Hipotecada,5,Empreendimento,C,18000.0,13.8,0,0.34,S,3.0
23,71500.0,Alugada,3,Pagamento de débitos,D,30000.0,11.01363026788837,1,0.42,N,4.0
36,24000.0,Hipotecada,2,Pagamento de débitos,A,1500.0,9.63,0,0.06,N,16.0
33,42996.0,Alugada,2,Empreendimento,A,8200.0,7.88,0,0.19,N,9.0
30,62000.0,Alugada,14,Médico,B,12000.0,11.71,0,0.19,N,9.0
23,80000.0,Própria,7,Empreendimento,B,25000.0,9.99,0,0.31,N,3.0
35,39000.0,Alugada,8,Médico,B,5000.0,9.99,1,0.13,N,6.0
23,65000.0,Hipotecada,7,Educativo,A,10500.0,6.03,0,0.16,N,4.0
22,50000.0,Hipotecada,6,Pessoal,A,15000.0,7.9,0,0.3,N,3.0
27,61000.0,Hipotecada,11,Médico,B,1200.0,10.37,0,0.02,N,5.0
24,64000.0,Hipotecada,8,Educativo,A,5000.0,7.88,1,0.08,N,4.0
