pessoa_idade,pessoa_salario_anual,pessoa_status_propriedade,pessoa_tempo_trabalho,emprestimo_motivo,emprestimo_pontuacao,emprestimo_valor_total,emprestimo_taxa_juros,emprestimo_inadimplente,emprestimo_renda_percentual,historico_inadimplencia,historico_tempo_credito
24,49232,Alugada,8,Educativo,A,8500,6.54,0,0.17,N,4
25,128500,Hipotecada,1,"Melhora do lar",C,15000,12.53,0,0.12,S,3
29,24000,Própria,3,Pessoal,A,7200,7.51,0,0.3,N,6
25,35400,Alugada,2,Médico,A,2000,8.49,0,0.06,N,2
24,65000,Hipotecada,6,Pessoal,B,11000,11.49,0,0.17,N,2
30,80000,Própria,0,Pessoal,D,8000,15.05,0,0.1,N,5
32,56784,Própria,3,Pessoal,D,12000,14.96,0,0.21,S,10
23,14000,Alugada,0,"Pagamento de débitos",C,1500,NULL,0,0.11,S,4
30,118000,Alugada,5,"Melhora do lar",A,10000,7.14,0,0.08,N,7
23,75000,Alugada,2,Médico,A,8000,7.9,0,0.11,N,4
22,52000,Alugada,6,Empreendimento,B,10000,11.71,0,0.19,N,2
23,60000,Alugada,1,Educativo,C,11000,14.22,0,0.18,N,4
38,55000,Alugada,9,"Melhora do lar",D,3325,16.89,0,0.06,N,14
23,75000,Própria,7,Educativo,D,12000,12.49,0,0.16,N,4
34,62900,Hipotecada,11,Médico,A,18000,8.94,1,0.24,N,5
28,37152,Alugada,12,Educativo,D,2300,13.17,0,0.06,N,7
25,60000,Hipotecada,6,Empreendimento,D,8400,16.89,0,0.14,N,3
24,80400,Hipotecada,5,Pessoal,A,12000,5.79,0,0.15,N,2
28,85000,Hipotecada,2,Educativo,A,15000,8.49,0,0.18,N,7
41,50780,Hipotecada,14,Pessoal,B,6000,10.99,0,0.12,N,17
38,89000,Hipotecada,2,Pessoal,A,6000,5.42,0,0.07,N,13
25,70000,Alugada,1,Empreendimento,A,5750,8,0,0.08,N,4
22,54000,Alugada,4,"Pagamento de débitos",C,9000,15.96,0,0.17,S,3
26,78000,Hipotecada,7,Empreendimento,A,7200,6.62,0,0.09,N,4
22,56000,Alugada,5,Educativo,C,14000,14.35,0,0.25,S,4
36,53000,Alugada,5,Médico,B,5000,10.74,0,0.09,N,12
24,85100,Alugada,3,Educativo,C,15000,NULL,0,0.18,S,2
22,35000,Alugada,5,Educativo,A,8000,7.29,0,0.23,N,2
24,54000,Hipotecada,8,Empreendimento,D,1500,14.42,1,0.03,S,2
24,40000,Alugada,NULL,Pessoal,D,3000,17.27,1,0.07,S,2
26,95400,Hipotecada,8,Pessoal,C,5000,12.68,0,0.05,N,3
27,105000,Alugada,1,"Melhora do lar",B,16000,NULL,0,0.15,N,8
31,102000,Hipotecada,5,Educativo,A,4000,7.88,0,0.04,N,10
22,38004,Própria,0,Empreendimento,D,3000,12.92,0,0.08,S,3
21,36500,Alugada,2,Empreendimento,A,5500,7.51,0,0.15,N,2
26,145992,Hipotecada,0,Pessoal,D,20000,NULL,0,0.14,S,2
23,112000,Hipotecada,5,Pessoal,B,12000,11.99,0,0.11,N,3
21,40000,Alugada,6,"Pagamento de débitos",C,15000,14.27,1,0.38,N,3
28,50000,Alugada,1,Pessoal,B,4800,10.37,0,0.1,N,10
29,40000,Hipotecada,9,Pessoal,A,5000,6.99,0,0.13,N,7
29,59000,Alugada,3,Educativo,A,6000,7.88,0,0.1,N,8
32,70000,Hipotecada,7,Pessoal,A,6000,5.42,0,0.09,N,6
NULL,41160,Alugada,2,"Pagamento de débitos",A,NULL,12.99,0,0.29,N,3
21,40000,Alugada,3,Educativo,D,7000,14.46,0,0.17,N,3
28,225000,Hipotecada,11,Educativo,E,9000,16.95,1,0.04,S,8
29,71000,Hipotecada,4,"Melhora do lar",C,11000,13.43,0,0.15,S,6
26,65000,Alugada,4,Pessoal,A,8000,6.92,0,0.12,N,4
44,61000,Alugada,2,"Pagamento de débitos",D,11000,16.02,1,0.18,S,15
31,42000,Alugada,12,Pessoal,B,12000,NULL,0,0.29,N,9
25,48000,Hipotecada,5,"Melhora do lar",A,7800,8.94,0,0.16,N,2
28,90000,Hipotecada,12,"Melhora do lar",C,5000,14.79,0,0.06,S,8
45,82800,Alugada,4,Educativo,C,25000,12.87,1,0.3,S,14
34,55000,Alugada,7,Empreendimento,A,9000,7.74,0,0.16,N,6
21,NULL,Alugada,1,,A,25000,16.07,0,0.19,S,3
29,175000,Hipotecada,2,"Melhora do lar",A,10000,NULL,0,0.06,N,9
30,36000,Alugada,6,"Pagamento de débitos",C,4500,13.49,0,0.13,S,6
24,80000,Hipotecada,6,"Melhora do lar",C,7000,14.65,0,0.09,N,4
26,45000,Alugada,0,"Pagamento de débitos",B,9000,10.39,0,0.2,N,2
22,45000,Hipotecada,1,Educativo,B,8000,12.53,0,0.18,N,3
22,82000,Hipotecada,6,"Pagamento de débitos",C,6000,NULL,0,0.07,N,2
23,45000,Alugada,2,Educativo,C,4800,13.22,0,0.11,S,4
25,140000,Alugada,9,Educativo,A,20000,6.54,0,0.14,N,4
23,99200,Hipotecada,7,"Pagamento de débitos",A,23000,6.91,0,0.23,N,4
31,110000,Hipotecada,4,"Pagamento de débitos",B,6000,11.99,0,0.05,N,7
22,26000,Hipotecada,4,Pessoal,B,4000,9.25,0,0.15,N,2
27,72000,Alugada,4,"Melhora do lar",B,20000,9.25,0,0.28,N,10
28,71874,Alugada,6,"Pagamento de débitos",B,20000,11.48,0,0.28,N,6
34,60000,Alugada,14,"Melhora do lar",C,10000,13.57,0,0.17,N,6
32,19200,Alugada,0,Empreendimento,B,5000,9.99,1,0.26,N,6
25,45000,Própria,5,Empreendimento,B,10400,10.25,0,0.23,N,3
37,36000,Hipotecada,21,Empreendimento,A,8000,7.88,0,0.22,N,15
26,84996,Alugada,0,Médico,B,9000,11.26,0,0.11,N,2
24,35000,Hipotecada,7,Educativo,A,15000,7.49,0,0.43,N,4
24,64000,Hipotecada,8,Educativo,A,5000,7.88,1,0.08,N,4
